雄獅旅遊/公司服務據點
台北站前門市
台南林森門市
加拿大辦公室
高雄左營巨蛋門市
嘉義門市
台南線上客服中心
台中崇德文心門市
台中分公司
高雄分公司
台南分公司
忠孝概念館
南港車站門市
新北板橋門市
新北永和門市
宜蘭門市
中壢門市
桃園機場門市(二航)
新竹巨城門市
內湖總公司
美國線上客服中心
澳洲 ‧ 雪梨門市
紐西蘭‧奧克蘭門市
廣州門市
北京門市
廈門門市
曼谷門市
日本門市
桃園分公司
澎湖機場門市
上海門市
台南南科分公司
基隆門市
"
"
共,32,個據點
